Life tables (period 5x10), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
NLD      1990-1999     45-49     0.00260  0.01291  2.70   96800    1249  481118  3313445  34.23
NLD      1990-1999     50-54     0.00417  0.02065  2.68   95550    1973  473180  2832327  29.64
NLD      1990-1999     55-59     0.00685  0.03373  2.69   93577    3157  460583  2359147  25.21
NLD      1990-1999     60-64     0.01158  0.05638  2.68   90420    5097  440292  1898564  21.00
NLD      1990-1999     65-69     0.01900  0.09097  2.66   85323    7762  408451  1458272  17.09
NLD      1990-1999     70-74     0.03090  0.14398  2.64   77561   11167  361441  1049821  13.54
NLD      1990-1999     75-79     0.05103  0.22732  2.60   66394   15093  295780   688380  10.37
NLD      1990-1999     80-84     0.08568  0.35376  2.54   51302   18149  211817   392600   7.65
NLD      1990-1999     85-89     0.14366  0.52416  2.42   33153   17378  120962   180783   5.45
NLD      1990-1999     90-94     0.23465  0.70924  2.21   15776   11189   47684    59821   3.79
NLD      1990-1999     95-99     0.36134  0.85639  1.93    4587    3928   10871    12137   2.65
NLD      1990-1999    100-104    0.51274  0.93881  1.62     659     618    1206     1266   1.92
NLD      1990-1999    105-109    0.66450  0.97383  1.37      40      39      59       60   1.50
NLD      1990-1999    110+       0.77584  1.00000  1.29       1       1       1        1   1.29
NLD      2000-2009        0      0.00457  0.00456  0.14  100000     456   99608  7934669  79.35
NLD      2000-2009      1-4      0.00023  0.00093  1.61   99544      92  397957  7835061  78.71
NLD      2000-2009      5-9      0.00011  0.00053  2.42   99452      52  497125  7437104  74.78
NLD      2000-2009     10-14     0.00013  0.00064  2.72   99400      63  496854  6939979  69.82
NLD      2000-2009     15-19     0.00029  0.00145  2.82   99336     144  496368  6443125  64.86
NLD      2000-2009     20-24     0.00039  0.00194  2.50   99193     192  495482  5946758  59.95
NLD      2000-2009     25-29     0.00042  0.00210  2.60   99000     208  494501  5451276  55.06
NLD      2000-2009     30-34     0.00055  0.00275  2.62   98792     272  493313  4956774  50.17
NLD      2000-2009     35-39     0.00081  0.00402  2.67   98521     396  491680  4463461  45.30
NLD      2000-2009     40-44     0.00132  0.00660  2.71   98124     647  489142  3971781  40.48
NLD      2000-2009     45-49     0.00227  0.01131  2.71   97477    1103  484856  3482639  35.73
NLD      2000-2009     50-54     0.00369  0.01829  2.67   96375    1763  477760  2997783  31.11
NLD      2000-2009     55-59     0.00577  0.02848  2.66   94612    2695  466749  2520023  26.64
NLD      2000-2009     60-64     0.00915  0.04481  2.67   91917    4119  449966  2053274  22.34
NLD      2000-2009     65-69     0.01491  0.07205  2.67   87797    6326  424274  1603308  18.26
