Life tables (period 5x5), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
TWN      2020-2023     40-44     0.00104  0.00521  2.67   98454     513  491075  4395784  44.65
TWN      2020-2023     45-49     0.00163  0.00812  2.67   97941     795  487855  3904709  39.87
TWN      2020-2023     50-54     0.00247  0.01226  2.65   97146    1191  482928  3416854  35.17
TWN      2020-2023     55-59     0.00343  0.01702  2.64   95955    1633  475916  2933925  30.58
TWN      2020-2023     60-64     0.00508  0.02508  2.66   94322    2366  466083  2458009  26.06
TWN      2020-2023     65-69     0.00778  0.03823  2.68   91956    3515  451637  1991926  21.66
TWN      2020-2023     70-74     0.01388  0.06725  2.72   88441    5948  428636  1540290  17.42
TWN      2020-2023     75-79     0.02538  0.11993  2.71   82493    9894  389771  1111654  13.48
TWN      2020-2023     80-84     0.04935  0.22127  2.66   72600   16064  325485   721883   9.94
TWN      2020-2023     85-89     0.09512  0.38591  2.56   56536   21818  229370   396398   7.01
TWN      2020-2023     90-94     0.16974  0.58658  2.37   34718   20365  119979   167028   4.81
TWN      2020-2023     95-99     0.28027  0.77527  2.12   14353   11128   39704    47049   3.28
TWN      2020-2023    100-104    0.42705  0.90153  1.80    3226    2908    6809     7345   2.28
TWN      2020-2023    105-109    0.58873  0.96037  1.49     318     305     518      536   1.69
TWN      2020-2023    110+       0.71607  1.00000  1.40      13      13      18       18   1.40
UKR      1960-1964        0      0.02226  0.02184  0.13  100000    2184   98107  7413455  74.13
UKR      1960-1964      1-4      0.00158  0.00628  1.34   97816     614  389634  7315349  74.79
UKR      1960-1964      5-9      0.00052  0.00259  2.29   97202     252  485329  6925715  71.25
UKR      1960-1964     10-14     0.00044  0.00220  2.55   96950     213  484230  6440386  66.43
UKR      1960-1964     15-19     0.00063  0.00316  2.71   96737     306  482983  5956157  61.57
UKR      1960-1964     20-24     0.00095  0.00474  2.51   96431     457  481015  5473174  56.76
UKR      1960-1964     25-29     0.00107  0.00533  2.52   95974     511  478600  4992159  52.02
UKR      1960-1964     30-34     0.00135  0.00670  2.51   95463     640  475721  4513558  47.28
UKR      1960-1964     35-39     0.00171  0.00851  2.56   94823     807  472147  4037837  42.58
UKR      1960-1964     40-44     0.00249  0.01240  2.61   94016    1166  467287  3565691  37.93
UKR      1960-1964     45-49     0.00346  0.01718  2.58   92850    1595  460397  3098404  33.37
UKR      1960-1964     50-54     0.00502  0.02482  2.58   91255    2265  450797  2638007  28.91
UKR      1960-1964     55-59     0.00734  0.03607  2.56   88990    3210  437123  2187210  24.58
UKR      1960-1964     60-64     0.01275  0.06188  2.64   85780    5308  416378  1750087  20.40
UKR      1960-1964     65-69     0.01919  0.09164  2.55   80473    7375  384318  1333709  16.57
UKR      1960-1964     70-74     0.03430  0.15869  2.65   73098   11600  338232   949391  12.99
UKR      1960-1964     75-79     0.05829  0.25438  2.50   61498   15644  268387   611160   9.94
UKR      1960-1964     80-84     0.09782  0.39243  2.48   45854   17994  183960   342773   7.48
UKR      1960-1964     85-89     0.15003  0.53296  2.28   27859   14848   98967   158813   5.70
UKR      1960-1964     90-94     0.18768  0.60920  2.12   13012    7927   42234    59846   4.60
UKR      1960-1964     95-99     0.26982  0.75402  2.07    5085    3834   14210    17612   3.46
UKR      1960-1964    100-104    0.35492  0.84467  1.90    1251    1057    2977     3402   2.72
UKR      1960-1964    105-109    0.45018  0.90774  1.71     194     176     392      426   2.19
UKR      1960-1964    110+       0.52934  1.00000  1.89      18      18      34       34   1.89
UKR      1965-1969        0      0.01606  0.01584  0.12  100000    1584   98600  7473581  74.74
UKR      1965-1969      1-4      0.00132  0.00525  1.35   98416     517  392296  7374982  74.94
UKR      1965-1969      5-9      0.00046  0.00229  2.30   97899     224  488892  6982686  71.33
UKR      1965-1969     10-14     0.00039  0.00193  2.55   97675     188  487916  6493794  66.48
UKR      1965-1969     15-19     0.00054  0.00267  2.64   97487     261  486822  6005878  61.61
UKR      1965-1969     20-24     0.00072  0.00359  2.54   97227     349  485276  5519056  56.76
UKR      1965-1969     25-29     0.00087  0.00435  2.56   96878     421  483359  5033780  51.96
UKR      1965-1969     30-34     0.00119  0.00595  2.57   96456     574  480885  4550421  47.18
UKR      1965-1969     35-39     0.00153  0.00762  2.57   95882     731  477637  4069536  42.44
UKR      1965-1969     40-44     0.00228  0.01136  2.65   95151    1081  473215  3591899  37.75
UKR      1965-1969     45-49     0.00349  0.01730  2.62   94070    1627  466485  3118685  33.15
UKR      1965-1969     50-54     0.00502  0.02481  2.58   92443    2294  456673  2652200  28.69
UKR      1965-1969     55-59     0.00734  0.03605  2.61   90149    3250  442988  2195526  24.35
UKR      1965-1969     60-64     0.01223  0.05942  2.63   86899    5163  422280  1752538  20.17
UKR      1965-1969     65-69     0.02087  0.09945  2.63   81736    8128  389386  1330258  16.28
UKR      1965-1969     70-74     0.03556  0.16380  2.59   73607   12057  339024   940872  12.78
UKR      1965-1969     75-79     0.05963  0.26052  2.58   61550   16035  268888   601848   9.78
UKR      1965-1969     80-84     0.09869  0.39497  2.47   45515   17977  182163   332960   7.32
UKR      1965-1969     85-89     0.15457  0.54721  2.33   27538   15069   97492   150797   5.48
UKR      1965-1969     90-94     0.20608  0.64913  2.15   12469    8094   39276    53305   4.28
UKR      1965-1969     95-99     0.29374  0.78479  2.03    4375    3433   11689    14029   3.21
UKR      1965-1969    100-104    0.39095  0.87334  1.83     942     822    2103     2340   2.49
UKR      1965-1969    105-109    0.49769  0.92969  1.63     119     111     223      237   1.99
UKR      1965-1969    110+       0.58564  1.00000  1.71       8       8      14       14   1.71
UKR      1970-1974        0      0.01446  0.01428  0.12  100000    1428   98742  7460585  74.61
UKR      1970-1974      1-4      0.00127  0.00505  1.37   98572     498  392978  7361843  74.68
UKR      1970-1974      5-9      0.00048  0.00240  2.34   98074     235  489746  6968864  71.06
UKR      1970-1974     10-14     0.00037  0.00185  2.47   97839     181  488738  6479119  66.22
UKR      1970-1974     15-19     0.00051  0.00253  2.65   97658     247  487709  5990381  61.34
UKR      1970-1974     20-24     0.00065  0.00324  2.55   97411     315  486282  5502673  56.49
UKR      1970-1974     25-29     0.00079  0.00394  2.61   97095     382  484562  5016390  51.66
UKR      1970-1974     30-34     0.00111  0.00553  2.58   96713     535  482273  4531828  46.86
UKR      1970-1974     35-39     0.00152  0.00759  2.62   96178     730  479152  4049555  42.10
UKR      1970-1974     40-44     0.00230  0.01142  2.63   95448    1090  474662  3570403  37.41
UKR      1970-1974     45-49     0.00343  0.01700  2.65   94358    1605  468027  3095741  32.81
UKR      1970-1974     50-54     0.00524  0.02590  2.64   92754    2402  458093  2627714  28.33
UKR      1970-1974     55-59     0.00763  0.03746  2.60   90351    3385  443636  2169621  24.01
UKR      1970-1974     60-64     0.01247  0.06058  2.66   86967    5268  422505  1725985  19.85
UKR      1970-1974     65-69     0.02075  0.09893  2.65   81698    8082  389483  1303480  15.95
UKR      1970-1974     70-74     0.03896  0.17838  2.64   73616   13132  337028   913997  12.42
UKR      1970-1974     75-79     0.06314  0.27367  2.57   60484   16553  262150   576969   9.54
UKR      1970-1974     80-84     0.10170  0.40529  2.50   43932   17805  175079   314819   7.17
UKR      1970-1974     85-89     0.15733  0.55304  2.32   26127   14449   91840   139740   5.35
UKR      1970-1974     90-94     0.21686  0.67100  2.16   11678    7836   36133    47901   4.10
UKR      1970-1974     95-99     0.30914  0.80252  2.00    3842    3083    9973    11768   3.06
UKR      1970-1974    100-104    0.41234  0.88779  1.79     759     674    1634     1795   2.37
UKR      1970-1974    105-109    0.52401  0.93951  1.59      85      80     153      161   1.89
UKR      1970-1974    110+       0.61521  1.00000  1.63       5       5       8        8   1.63
UKR      1975-1979        0      0.01577  0.01555  0.12  100000    1555   98626  7418160  74.18
